,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,average_rating,number_of_votes
22916,tt2354181,Les gamins,Les gamins,2013,95.0,Comedy,6.2,2729
22917,tt2354196,Croczilla,Bai wan ju e,2012,90.0,"Action,Adventure,Comedy",4.2,641
22918,tt2354205,McCullin,McCullin,2012,91.0,Documentary,8.2,2100
22919,tt2354215,The Mark of the Angels - Miserere,La marque des anges - Miserere,2013,106.0,Thriller,5.7,993
22920,tt2354223,Mumbai's King,Mumbai Cha Raja,2012,77.0,Drama,6.5,119
22921,tt2354243,No hay lugar lejano,No hay lugar lejano,2012,85.0,"Action,Adventure,Documentary",7.6,5
22922,tt2354247,Off Label,Off Label,2012,80.0,"Documentary,Drama,History",5.3,77
22923,tt2354263,Poker Generation,Poker Generation,2012,91.0,Drama,4.8,36
22924,tt2354274,News from Nowhere,News from Nowhere,2010,94.0,Drama,6.0,10
22925,tt2354335,The Secret Children,The Secret Children,2014,103.0,Sci-Fi,6.2,12
22926,tt2354365,Splash Area,Splash Area,2012,90.0,Horror,4.6,59
22927,tt2354395,Surprise,Surprise,2019,82.0,"Comedy,Drama",6.8,9
22928,tt2354407,Teri Meri Kahaani,Teri Meri Kahaani,2012,117.0,"Comedy,Drama,Romance",4.8,3625
22929,tt2354437,The Ice Cream Wars,The Hooligan Wars,2012,76.0,Crime,4.0,302
22930,tt2354479,The Spirit of Albion,The Spirit of Albion,2012,85.0,Musical,6.9,32
22931,tt2354492,Raising the Dead,Raising the Dead,2012,72.0,Documentary,7.0,7
22932,tt2354495,The World According to Dick Cheney,The World According to Dick Cheney,2013,109.0,Documentary,7.0,443
22933,tt2354513,Tina & Bettina - The Movie,Tina & Bettina - The Movie,2012,85.0,Comedy,3.6,427
22934,tt2354525,Triad,Jat jik,2012,91.0,"Crime,Drama",5.1,359
22935,tt2354531,Two Steps from a Dead End,Two Steps from a Dead End,2012,91.0,Drama,7.4,20
22936,tt2354571,Y... ¿Quién mató al mayordomo?,Y... ¿Quién mató al mayordomo?,2012,91.0,"Comedy,Crime",7.7,6
22937,tt2354572,Grasp the Nettle,Grasp the Nettle,2013,91.0,"Adventure,Documentary,History",8.4,29
22938,tt2354577,"Yes, Your Tide Is Cold and Dark, Sir","Yes, Your Tide Is Cold and Dark, Sir",2013,122.0,"Drama,Mystery",7.6,74
22939,tt2354583,Zamora,Zamora,2011,95.0,Mystery,7.6,8
22940,tt2354646,A Paixón de María Soliña,A Paixón de María Soliña,2012,91.0,"Documentary,Drama,History",8.7,7
22941,tt2354956,Shyamal Uncle Turns Off the Lights,Shyamal Uncle Turns Off the Lights,2012,65.0,Drama,6.2,15
22942,tt2355144,Kern,Kern,2012,101.0,Documentary,7.1,17
22943,tt2355150,7 Lives of Chance,7 Lives of Chance,2013,106.0,"Comedy,Drama,Romance",6.2,9
22944,tt2355198,Seances,Seances,2016,91.0,Mystery,7.7,69
22945,tt2355322,The Battle for Malta,The Battle for Malta,2013,91.0,Documentary,8.9,11
22946,tt2355346,A Oeste do Fim do Mundo,A Oeste do Fim do Mundo,2013,102.0,Drama,7.3,181
22947,tt2355352,Tak pakhnet lyubov,Tak pakhnet lyubov,2012,66.0,"Action,Drama,Sci-Fi",7.3,17
22948,tt2355462,Cool as Hell,Cool as Hell,2013,100.0,"Action,Comedy,Horror",3.8,102
22949,tt2355478,...Moddhikhane Char,...Moddhikhane Char,2012,88.0,"Documentary,Family",6.7,26
22950,tt2355495,Barefoot,Barefoot,2014,90.0,"Comedy,Drama,Romance",6.6,21489
22951,tt2355514,La maniobra de Heimlich,La maniobra de Heimlich,2014,91.0,Comedy,5.3,48
22952,tt2355520,OnePeople: The Celebration,OnePeople: The Celebration,2012,90.0,Documentary,7.4,14
22953,tt2355540,Cutie and the Boxer,Cutie and the Boxer,2013,82.0,"Biography,Documentary",7.2,4309
22954,tt2355551,Ordos 100,Eerduosi 100,2012,61.0,Documentary,6.3,6
22955,tt2355557,El paciente interno,El paciente interno,2012,83.0,"Documentary,Drama",7.9,42
22956,tt2355564,Perfect Rivals,Perfect Rivals,2011,90.0,Comedy,4.6,10
22957,tt2355571,So Sorry,Fei chang yi han,2012,55.0,Documentary,6.7,15
